manufacturer,manufacturer_part_number,brand,description,icecat_id,icecat_category,icecat_title,short_description,long_description,product_image_url,technical_specs,bullet_features,icecat_status,estimated_price,hardware_technology,power_spec
Samsung,AR18CY5AMWKN,Samsung,1.5 Ton Smart Air Conditioner,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
LG,OLED55C3PSA,LG,55 inch Smart OLED Television,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Philips,AC1711/30,Philips,Smart Air Purifier with HEPA filter,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Whirlpool,IF INV CNV 278,Whirlpool,265 L Frost Free Smart Refrigerator,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Panasonic,NN-ST34HM,Panasonic,25 L Solo Microwave Oven,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Racold,ECO 15L,Racold,15 L Smart Electric Water Heater,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Godrej,Eon Vogue 236,Godrej,236 L Frost Free Refrigerator,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Havells,Stealth Air,Havells,Smart Ceiling Fan with Remote Control,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Sony,SRS-XB100,Sony,Portable Bluetooth Smart Speaker,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
Bosch,WAK24264IN,Bosch,7 kg Fully Automatic Washing Machine,N/A,Unknown,N/A,N/A,Missing brand/product code,N/A,N/A,N/A,NOT_FOUND,N/A,N/A,N/A
