manufacturer,manufacturer_part_number,brand,description
Samsung,AR18CY5AMWKN,Samsung,1.5 Ton Smart Air Conditioner
LG,OLED55C3PSA,LG,55 inch Smart OLED Television
Philips,AC1711/30,Philips,Smart Air Purifier with HEPA filter
Whirlpool,IF INV CNV 278,Whirlpool,265 L Frost Free Smart Refrigerator
Panasonic,NN-ST34HM,Panasonic,25 L Solo Microwave Oven
Racold,ECO 15L,Racold,15 L Smart Electric Water Heater
Godrej,Eon Vogue 236,Godrej,236 L Frost Free Refrigerator
Havells,Stealth Air,Havells,Smart Ceiling Fan with Remote Control
Sony,SRS-XB100,Sony,Portable Bluetooth Smart Speaker
Bosch,WAK24264IN,Bosch,7 kg Fully Automatic Washing Machine
