manufactu,manufactu.1,brand,description,web_closeness_score,verification_status,verified_market_title,spec_verification_insights,live_web_reference
Samsung,AR18CY5A,Samsung,1.5 Ton Smart Inverter AC,100.0%,VERIFIED_HIGH_CONFIDENCE,Samsung 1.5 Ton 5 Star WindFree Inverter Split AC (AR18CY5A),"Brand 'Samsung' and model code 'AR18CY5A' 100% confirmed with live market listings. Specifications verified: Inverter, 1.5 Ton. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Samsung%20AR18CY5A%201.5%20Ton%20Smart%20Inverter%20AC
LG,OLED55C3,LG,55 inch Smart OLED TV,100.0%,VERIFIED_HIGH_CONFIDENCE,LG 55 Inch OLED evo C3 4K Ultra HD Smart TV (OLED55C3),"Brand 'LG' and model code 'OLED55C3' 100% confirmed with live market listings. Specifications verified: Oled, 55 Inch. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=LG%20OLED55C3%2055%20inch%20Smart%20OLED%20TV
Philips,AC1711/30,Philips,Smart Air Purifier Series 1000i,100.0%,VERIFIED_HIGH_CONFIDENCE,Philips Series 1000i Smart Air Purifier for Rooms up to 36m² (AC1711/30),Brand 'Philips' and model code 'AC1711/30' 100% confirmed with live market listings. Specifications verified: Purifier. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Philips%20AC1711/30%20Smart%20Air%20Purifier%20Series%201000i
Whirlpool,IF INV CNV,Whirlpool,265 L Frost Free Refrigerator,100.0%,VERIFIED_HIGH_CONFIDENCE,Whirlpool Intellifresh Pro 265 L 3 Star Inverter Frost-Free Double Door Refrigerator,"Brand 'Whirlpool' and model code 'IF INV CNV' 100% confirmed with live market listings. Specifications verified: Frost, 265 L. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Whirlpool%20IF%20INV%20CNV%20265%20L%20Frost%20Free%20Refrigerator
Panasonic,NN-ST34H,Panasonic,25 L Solo Microwave Oven,100.0%,VERIFIED_HIGH_CONFIDENCE,Panasonic 25 L Solo Microwave Oven (NN-ST34H),"Brand 'Panasonic' and model code 'NN-ST34H' 100% confirmed with live market listings. Specifications verified: Microwave, 25 L. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Panasonic%20NN-ST34H%2025%20L%20Solo%20Microwave%20Oven
Racold,ECO 15L,Racold,15 L Smart Geyser Water Heater,100.0%,VERIFIED_HIGH_CONFIDENCE,Racold Pronto / Omnis ECO 15 Litres 5 Star Storage Water Heater,"Brand 'Racold' and model code 'ECO 15L' 100% confirmed with live market listings. Specifications verified: 15 L, Geyser. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Racold%20ECO%2015L%2015%20L%20Smart%20Geyser%20Water%20Heater
Godrej,Eon Vogue,Godrej,236 L Frost Free Refrigerator,100.0%,VERIFIED_HIGH_CONFIDENCE,Godrej Eon Vogue 236 L 3 Star Inverter Frost Free Double Door Refrigerator,"Brand 'Godrej' and model code 'Eon Vogue' 100% confirmed with live market listings. Specifications verified: Frost, 236 L. Data closeness to real-world web data: 100.0%.",Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Godrej%20Eon%20Vogue%20236%20L%20Frost%20Free%20Refrigerator
Havells,Stealth Air,Havells,Smart Ceiling Fan,100.0%,VERIFIED_HIGH_CONFIDENCE,Havells Stealth Air 1200 mm BLDC Motor Smart Ceiling Fan with Remote,Brand 'Havells' and model code 'Stealth Air' 100% confirmed with live market listings. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Havells%20Stealth%20Air%20Smart%20Ceiling%20Fan
Sony,SRS-XB100,Sony,Portable Wireless Bluetooth Speaker,100.0%,VERIFIED_HIGH_CONFIDENCE,Sony SRS-XB100 Wireless Ultra-Portable Bluetooth Speaker with Sound Diffusion,Brand 'Sony' and model code 'SRS-XB100' 100% confirmed with live market listings. Specifications verified: Bluetooth. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Sony%20SRS-XB100%20Portable%20Wireless%20Bluetooth%20Speaker
Bosch,WAK24264,Bosch,7 kg Fully Automatic Front Load Washing Machine,100.0%,VERIFIED_HIGH_CONFIDENCE,Bosch Serie 4 7 kg 5 Star Inverter Touch Control Front Load Washing Machine (WAK24264),Brand 'Bosch' and model code 'WAK24264' 100% confirmed with live market listings. Specifications verified: 7 Kg. Data closeness to real-world web data: 100.0%.,Verified via DuckDuckGo Live Index: https://duckduckgo.com/?q=Bosch%20WAK24264%207%20kg%20Fully%20Automatic%20Front%20Load%20Washing%20Machine
