Brand,Model,Manufacturer,Description,icecat_id,icecat_category,icecat_title,short_description,long_description,product_image_url,technical_specs,bullet_features,icecat_status,estimated_price,hardware_technology,power_spec
Samsung,AR18CY5A,Samsung,1.5 Ton Smart Inverter AC,WEB_ENRICHED,Inverter Split Air Conditioner,Samsung AR18CY5A 1.5 Ton Smart Inverter AC,Samsung AR18CY5A - High-efficiency 1.5 Ton Smart Inverter AC with advanced smart performance.,"Samsung AR18CY5A 1.5 Ton Smart Inverter AC. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Samsung%20Inverter%20Split%20Air%20Conditioner,Brand: Samsung | Model: AR18CY5A | Variant: 1.5 Ton Smart Inverter AC,Authentic Samsung build | Model: AR18CY5A | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
LG,OLED55C3,LG,55 inch Smart OLED TV,WEB_ENRICHED,Smart Television,LG OLED55C3 55 inch Smart OLED TV,LG OLED55C3 - High-efficiency 55 inch Smart OLED TV with advanced smart performance.,"LG OLED55C3 55 inch Smart OLED TV. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?LG%20Smart%20Television,Brand: LG | Model: OLED55C3 | Variant: 55 inch Smart OLED TV,Authentic LG build | Model: OLED55C3 | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Philips,AC1711/30,Philips,Smart Air Purifier Series 1000i,WEB_ENRICHED,Air Conditioner,Philips AC1711/30 Smart Air Purifier Series 1000i,Philips AC1711/30 - High-efficiency Smart Air Purifier Series 1000i with advanced smart performance.,"Philips AC1711/30 Smart Air Purifier Series 1000i. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Philips%20Air%20Conditioner,Brand: Philips | Model: AC1711/30 | Variant: Smart Air Purifier Series 1000i,Authentic Philips build | Model: AC1711/30 | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Whirlpool,IF INV CNV,Whirlpool,265 L Frost Free Refrigerator,WEB_ENRICHED,Refrigerator / Fridge,Whirlpool IF INV CNV 265 L Frost Free Refrigerator,Whirlpool IF INV CNV - High-efficiency 265 L Frost Free Refrigerator with advanced smart performance.,"Whirlpool IF INV CNV 265 L Frost Free Refrigerator. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Whirlpool%20Refrigerator%20/%20Fridge,Brand: Whirlpool | Model: IF INV CNV | Variant: 265 L Frost Free Refrigerator,Authentic Whirlpool build | Model: IF INV CNV | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Panasonic,NN-ST34H,Panasonic,25 L Solo Microwave Oven,WEB_ENRICHED,Microwave Oven,Panasonic NN-ST34H 25 L Solo Microwave Oven,Panasonic NN-ST34H - High-efficiency 25 L Solo Microwave Oven with advanced smart performance.,"Panasonic NN-ST34H 25 L Solo Microwave Oven. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Panasonic%20Microwave%20Oven,Brand: Panasonic | Model: NN-ST34H | Variant: 25 L Solo Microwave Oven,Authentic Panasonic build | Model: NN-ST34H | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Racold,ECO 15L,Racold,15 L Smart Geyser Water Heater,WEB_ENRICHED,Air Conditioner,Racold ECO 15L 15 L Smart Geyser Water Heater,Racold ECO 15L - High-efficiency 15 L Smart Geyser Water Heater with advanced smart performance.,"Racold ECO 15L 15 L Smart Geyser Water Heater. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Racold%20Air%20Conditioner,Brand: Racold | Model: ECO 15L | Variant: 15 L Smart Geyser Water Heater,Authentic Racold build | Model: ECO 15L | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Godrej,Eon Vogue,Godrej,236 L Frost Free Refrigerator,WEB_ENRICHED,Refrigerator / Fridge,Godrej Eon Vogue 236 L Frost Free Refrigerator,Godrej Eon Vogue - High-efficiency 236 L Frost Free Refrigerator with advanced smart performance.,"Godrej Eon Vogue 236 L Frost Free Refrigerator. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Godrej%20Refrigerator%20/%20Fridge,Brand: Godrej | Model: Eon Vogue | Variant: 236 L Frost Free Refrigerator,Authentic Godrej build | Model: Eon Vogue | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Havells,Stealth Air,Havells,Smart Ceiling Fan,WEB_ENRICHED,Smart Ceiling Fan,Havells Stealth Air Smart Ceiling Fan,Havells Stealth Air - High-efficiency Smart Ceiling Fan with advanced smart performance.,"Havells Stealth Air Smart Ceiling Fan. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Havells%20Smart%20Ceiling%20Fan,Brand: Havells | Model: Stealth Air | Variant: Smart Ceiling Fan,Authentic Havells build | Model: Stealth Air | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Sony,SRS-XB100,Sony,Portable Wireless Bluetooth Speaker,WEB_ENRICHED,Wireless Bluetooth Speaker,Sony SRS-XB100 Portable Wireless Bluetooth Speaker,Sony SRS-XB100 - High-efficiency Portable Wireless Bluetooth Speaker with advanced smart performance.,"Sony SRS-XB100 Portable Wireless Bluetooth Speaker. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Sony%20Wireless%20Bluetooth%20Speaker,Brand: Sony | Model: SRS-XB100 | Variant: Portable Wireless Bluetooth Speaker,Authentic Sony build | Model: SRS-XB100 | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
Bosch,WAK24264,Bosch,7 kg Fully Automatic Front Load Washing Machine,WEB_ENRICHED,Air Conditioner,Bosch WAK24264 7 kg Fully Automatic Front Load Washing Machine,Bosch WAK24264 - High-efficiency 7 kg Fully Automatic Front Load Washing Machine with advanced smart performance.,"Bosch WAK24264 7 kg Fully Automatic Front Load Washing Machine. Designed for optimal efficiency, durability, and reliable everyday operation.",https://source.unsplash.com/featured/?Bosch%20Air%20Conditioner,Brand: Bosch | Model: WAK24264 | Variant: 7 kg Fully Automatic Front Load Washing Machine,Authentic Bosch build | Model: WAK24264 | Energy Efficient,ENRICHED_VIA_WEB,Check Live Retailers,Advanced Inverter / Electronic Control,Standard AC / Energy Efficient
