manufactu,manufactu.1,brand,description,icecat_id,icecat_category,icecat_title,short_description,long_description,product_image_url,technical_specs,bullet_features,icecat_status,estimated_price,hardware_technology,power_spec
Samsung,AR18CY5A,Samsung,1.5 Ton Smart Inverter AC,WEB_ENRICHED,Inverter Split Air Conditioner,Samsung 1.5 Ton 5 Star WindFree Inverter Split AC (AR18CY5A),"1.5 Ton 5 Star WindFree Inverter Split AC featuring 23,000 micro-holes for gentle airflow without direct cold wind.","Samsung AR18CY5A 1.5 Ton 5 Star Split AC with WindFree Cooling technology. Equipped with Digital Inverter Boost, 100% Copper Condenser with Durafin Ultra coating, 5-in-1 Convertible cooling modes, and SmartThings Wi-Fi connectivity.",https://source.unsplash.com/featured/?Samsung%20Inverter%20Split%20Air%20Conditioner,Capacity: 1.5 Ton | Energy Rating: 5 Star BEE | Inverter: WindFree Digital Inverter | Condenser: 100% Copper | Filter: PM 2.5 Filter | Refrigerant: R32 | Convertible: 5-in-1 Convertible Cooling | ISEER: 5.16,"WindFree 23,000 Micro-holes | 5 Star Energy Efficiency | 5-in-1 Convertible Modes | PM 2.5 Air Filter",ENRICHED_VIA_WEB,"₹44,990","WindFree Cooling, Digital Inverter Boost, Durafin Ultra Condenser",5 Star BEE Rating | Annual Energy Consumption: 749.48 kWh | 230V / 50Hz
LG,OLED55C3,LG,55 inch Smart OLED TV,WEB_ENRICHED,4K OLED Smart TV,LG 55 Inch OLED evo C3 4K Ultra HD Smart TV (OLED55C3),55-inch 4K Ultra HD Smart OLED evo TV powered by alpha9 Gen6 AI Processor with Brightness Booster and Dolby Vision.,"LG OLED55C3 delivers infinite contrast with self-lit OLED pixels. Features alpha9 AI Processor 4K Gen6, Brightness Booster, Dolby Vision IQ & Dolby Atmos, webOS 23 with ThinQ AI, and 0.1ms response time with 4x HDMI 2.1 ports for 120Hz 4K gaming.",https://source.unsplash.com/featured/?LG%204K%20OLED%20Smart%20TV,"Screen: 55 Inch 4K UHD (3840 x 2160) | Panel: OLED evo Self-Lit Pixels | Refresh Rate: 120Hz Native | Processor: alpha9 Gen6 4K AI | HDR: Dolby Vision IQ, HDR10, HLG | Audio: 40W 2.2Ch Dolby Atmos | Ports: 4x HDMI 2.1, 3x USB, eARC | OS: webOS 23",Self-Lit OLED evo Panel | α9 Gen6 AI Processor 4K | Dolby Vision & Dolby Atmos | 0.1ms Response Time with G-Sync/FreeSync,ENRICHED_VIA_WEB,"₹1,19,990","alpha9 AI Processor 4K Gen6, Brightness Booster, Self-Lit OLED evo Pixels",AC 100~240V 50-60Hz | Energy Efficient OLED Mode
Philips,AC1711/30,Philips,Smart Air Purifier Series 1000i,WEB_ENRICHED,Smart Air Purifier,Philips Series 1000i Smart Air Purifier for Rooms up to 36m² (AC1711/30),Compact smart air purifier with NanoProtect HEPA 3-layer filtration removing 99.97% of airborne particles and PM2.5.,"Philips AC1711/30 Air Purifier cleans air in under 10 minutes with 300 m³/h CADR. Equipped with AeraSense smart sensors, real-time digital air quality index display, 3-layer NanoProtect HEPA filter, ultra-quiet sleep mode, and Clean Home+ App control.",https://source.unsplash.com/featured/?Philips%20Smart%20Air%20Purifier,"CADR: 300 m³/h | Room Coverage: Up to 36 m² (387 sq.ft) | Filtration: 3-Layer NanoProtect HEPA (0.003 microns) | Sensors: AeraSense PM2.5 Sensor | Noise: 15 dB(A) Ultra Quiet | Modes: Auto, Turbo, Sleep | App: Clean Home+ App",Removes 99.97% Particles @ 0.003um | 300 m³/h Clean Air Rate | AeraSense Real-Time PM2.5 Display | Clean Home+ App Smart Control,ENRICHED_VIA_WEB,"₹12,499","NanoProtect HEPA Filtration, AeraSense Intelligent Optical Sensor",Power Consumption: 27 Watts (Energy Efficient) | Voltage: 220-240V
Whirlpool,IF INV CNV,Whirlpool,265 L Frost Free Refrigerator,WEB_ENRICHED,Frost Free Refrigerator,Whirlpool Intellifresh Pro 265 L 3 Star Inverter Frost-Free Double Door Refrigerator,265 Litres 3 Star Inverter Frost Free Double Door Refrigerator with 5-in-1 convertible modes and MicroBlock technology.,"Whirlpool Intellifresh 265 L refrigerator features IntelliSense Inverter Technology that adapts cooling to internal load. Comes with 5 Convertible Modes, Zeolite Freshonizer for up to 15 days of garden freshness, and MicroBlock technology preventing 99% bacterial growth.",https://source.unsplash.com/featured/?Whirlpool%20Frost%20Free%20Refrigerator,Capacity: 265 Litres | Type: Double Door Frost Free | Compressor: IntelliSense Inverter | Energy Rating: 3 Star BEE | Freshness: Zeolite Technology & MicroBlock | Shelves: Toughened Glass | Cooling: 6th Sense Intellifresh,5-in-1 Convertible Modes | IntelliSense Inverter Compressor | Up to 15 Days Garden Freshness | MicroBlock 99% Bacterial Protection,ENRICHED_VIA_WEB,"₹26,990","IntelliSense Inverter Compressor, MicroBlock Anti-Bacterial Tech, 6th Sense Intellifresh",3 Star BEE Rating | Annual Energy Consumption: 190 kWh | Voltage: 230V / 50Hz
Panasonic,NN-ST34H,Panasonic,25 L Solo Microwave Oven,WEB_ENRICHED,Solo Microwave Oven,Panasonic 25 L Solo Microwave Oven (NN-ST34H),"25 Litres Solo Microwave Oven with 51 auto-cook menus, Vapor Clean cavity, and 800W cooking power.","Panasonic NN-ST34H 25L microwave oven is engineered for quick reheating, defrosting, and versatile everyday cooking. Features 51 auto-cook preset recipes, easy-to-clean epoxy cavity with Vapor Clean, touch keypad controls, and 288 mm glass turntable.",https://source.unsplash.com/featured/?Panasonic%20Solo%20Microwave%20Oven,"Capacity: 25 Litres | Type: Solo Microwave | Power: 800 Watts | Auto Menus: 51 Auto-Cook Recipes | Turntable: 288 mm Glass Tray | Features: Vapor Clean, Quick 30s, Defrost, Child Lock, Membrane Keypad",51 Auto Cook Menus | 25L Compact Family Capacity | Vapor Clean Easy Cleaning | Quick 30 Second Heating,ENRICHED_VIA_WEB,"₹7,490","Micro Heat Wave Distribution, Vapor Clean Cavity Coating",800 Watts Microwave Power | Voltage: 230V / 50Hz
Racold,ECO 15L,Racold,15 L Smart Geyser Water Heater,WEB_ENRICHED,Storage Water Heater (Geyser),Racold Pronto / Omnis ECO 15 Litres 5 Star Storage Water Heater,15 Litres 5 Star high-pressure storage water heater with Titanium Plus enameled heating element.,"Racold ECO 15L geyser is equipped with Titanium Plus tank coating with titanium enamel for rust and hard water resistance. Features 8 Bar pressure rating suitable for high-rise buildings, high-density PUF insulation, and Safe Care 3-level safety protection.",https://source.unsplash.com/featured/?Racold%20Storage%20Water%20Heater%20%28Geyser%29,"Capacity: 15 Litres | Pressure: 8 Bar (High-Rise Buildings) | Heating Element: Titanium Plus Enamel | Energy Rating: 5 Star BEE | Safety: Safe Care Auto Cut-off, Multifunction Safety Valve | Tank: Polyurethane Insulation (PUF)",Titanium Plus Hard Water Protection | 8 Bar High Rise Pressure | 5 Star BEE Energy Savings | 3-Level Safe Care Protection,ENRICHED_VIA_WEB,"₹6,899","Titanium Plus Enamel Heating, High Density PUF Insulation",2000 Watts | 5 Star BEE Energy Rating | Voltage: 230V / 50Hz
Godrej,Eon Vogue,Godrej,236 L Frost Free Refrigerator,WEB_ENRICHED,Frost Free Refrigerator,Godrej Eon Vogue 236 L 3 Star Inverter Frost Free Double Door Refrigerator,236 Litres 3 Star Inverter Double Door Refrigerator with nature-inspired designer finish and Cool Shower technology.,"Godrej Eon Vogue series refrigerator combines contemporary aesthetics with Intelligent Inverter cooling. Features Cool Shower Technology with air vents right above the shelves, Aroma Lock deodorizer, farm-fresh vegetable crisper, and stabilizer-free operation (95V - 290V).",https://source.unsplash.com/featured/?Godrej%20Frost%20Free%20Refrigerator,Capacity: 236 Litres | Configuration: Double Door Frost Free | Compressor: Intelligent Inverter | Energy Rating: 3 Star BEE | Airflow: Cool Shower Technology | Shelves: Toughened Glass | Operation: Stabilizer Free (95V-290V),Nature-Inspired Vogue Designer Finish | Cool Shower Air Circulation | Intelligent Inverter Cooling | Stabilizer Free 95V-290V,ENRICHED_VIA_WEB,"₹24,490","Intelligent Inverter Compressor, Cool Shower Air Ducts, Aroma Lock",3 Star BEE Rating | 95V - 290V Stabilizer Free Operation
Havells,Stealth Air,Havells,Smart Ceiling Fan,WEB_ENRICHED,Smart BLDC Ceiling Fan,Havells Stealth Air 1200 mm BLDC Motor Smart Ceiling Fan with Remote,1200 mm (48 inch) ultra-silent ceiling fan driven by energy-saving 26W BLDC inverter motor with smart remote.,Havells Stealth Air is crafted with aerodynamically contoured composite blades for silent whisper-quiet air delivery of 240 m³/min. Powered by an eco-friendly 26W BLDC inverter motor that saves up to 60% electricity compared to conventional ceiling fans.,https://source.unsplash.com/featured/?Havells%20Smart%20BLDC%20Ceiling%20Fan,Sweep: 1200 mm (48 Inch) | Motor: Inverter BLDC Motor | Power: 26 Watts (60% Energy Saving) | Air Delivery: 240 m³/min | Speed: 320 RPM | Control: Point-Anywhere Smart RF Remote | Blades: Hydrodynamic Dust-Resistant Blades,Whisper Quiet 240 m³/min Airflow | 26W BLDC Motor (60% Power Saving) | RF Smart Remote Control | Dust Resistant Aerofoil Blades,ENRICHED_VIA_WEB,"₹5,799","BLDC Inverter Motor Technology, Hydrodynamic Silent Aerofoil Blade Geometry",26 Watts Ultra Low Power Consumption | 5 Star BEE Energy Rated | 220-240V
Sony,SRS-XB100,Sony,Portable Wireless Bluetooth Speaker,WEB_ENRICHED,Wireless Bluetooth Speaker,Sony SRS-XB100 Wireless Ultra-Portable Bluetooth Speaker with Sound Diffusion,"Compact wireless Bluetooth speaker with Extra Bass, Sound Diffusion Processor, IP67 waterproof rating, and 16-hour battery.","Sony SRS-XB100 delivers expansive surround sound from an ultra-compact body using a Sound Diffusion Processor and passive radiator for punchy Extra Bass. Built with IP67 waterproof and dustproof durability, built-in mic with echo cancelling, and a versatile multiway strap.",https://source.unsplash.com/featured/?Sony%20Wireless%20Bluetooth%20Speaker,"Driver: Full Range Speaker with Passive Radiator | Battery Life: Up to 16 Hours | Water/Dust Resistance: IP67 Certified | Bluetooth: Version 5.3 (SBC, AAC codecs) | Mic: Built-in Hands-free Calling with Echo Cancelling | Charging: USB Type-C | Weight: 274g",Sound Diffusion Processor for Expansive Sound | IP67 Waterproof & Dustproof | 16-Hour Long Battery Life | Clear Hands-Free Calling,ENRICHED_VIA_WEB,"₹3,990","Sound Diffusion Processor, Extra Bass Tuning, IP67 Waterproof UV Coating",USB Type-C Rechargeable Battery | Up to 16 Hours Playback | 5V DC
Bosch,WAK24264,Bosch,7 kg Fully Automatic Front Load Washing Machine,WEB_ENRICHED,Front Load Washing Machine,Bosch Serie 4 7 kg 5 Star Inverter Touch Control Front Load Washing Machine (WAK24264),7 kg 5 Star fully-automatic front load washing machine with EcoSilence Drive motor and ActiveWater Plus.,"Bosch WAK24264 front-loading washing machine features EcoSilence Drive brushless inverter motor for whisper-quiet washing and long-lasting durability. Equipped with VarioDrum wave-droplet design for gentle fabric care, AntiVibration side panels, and ActiveWater Plus sensors.",https://source.unsplash.com/featured/?Bosch%20Front%20Load%20Washing%20Machine,"Capacity: 7 kg | Spin Speed: 1200 RPM | Energy Rating: 5 Star BEE | Motor: EcoSilence Drive Frictionless Inverter | Drum: VarioDrum Wave Pattern | Programs: 15 Wash Cycles (AllergyPlus, ActiveWater Plus, Quick 15/30) | Noise: 49 dB Wash",EcoSilence Drive Inverter Motor | 1200 RPM Spin Speed | 5 Star Energy Efficiency | VarioDrum Gentle Fabric Protection,ENRICHED_VIA_WEB,"₹31,990","EcoSilence Drive Brushless Inverter, ActiveWater Plus Load Sensing, AntiVibration Side Panels",5 Star BEE Rating | 2300 Watts Max Heating Power | Voltage: 220-240V / 50Hz
